,chain,project,action,usd_value_out,usd_value_out_pct_share,usd_value_net,usd_value_net_pct_share,address,style,granularity
105694,Ethereum,0xd5b6625c2bf78b9bd951f2d0bae275e3dc1c7612,0xd5b6625c2bf78b9bd951f2d0bae275e3dc1c7612,49856598.282759465,0.00019941431931279438,49856598.282759465,0.0002482391168137797,5.0,Dollar-Weighted,project
124604,Ethereum,0xfc4dc095a01c00a3c6404c4d3424aa4c360cecd2,0xfc4dc095a01c00a3c6404c4d3424aa4c360cecd2,49812112.637568004,0.00019923638750515813,42641648.514288,0.00021231543128226034,53.0,Dollar-Weighted,project
75739,Ethereum,0x9954015c38ef4dc74132210a80f65938d05e9793,0x9954015c38ef4dc74132210a80f65938d05e9793,49690208.05407171,0.000198748798692918,49690208.05407171,0.00024741064947267404,1.0,Dollar-Weighted,project
26908,Ethereum,0x35efc913702c4a4f00fc4e994bf50d1757bc232f,0x35efc913702c4a4f00fc4e994bf50d1757bc232f,49690022.40604727,0.0001987480561457788,49342775.598747514,0.0002456807615775357,31.0,Dollar-Weighted,project
4066,Ethereum,0x078a9e1b56850dc9be25c20fb0f980c60775cf46,0x078a9e1b56850dc9be25c20fb0f980c60775cf46,49672763.82123809,0.00019867902598606944,49672763.82123809,0.0002473237935478564,1.0,Dollar-Weighted,project
33173,Ethereum,0x42ae1d6a320e93f119d6f136912cfa12f0799b8a,0x42ae1d6a320e93f119d6f136912cfa12f0799b8a,49624180.69674332,0.0001984847052535103,46240167.03350492,0.00023023267974719102,52.0,Dollar-Weighted,project
80293,Ethereum,0xa294cca691e4c83b1fc0c8d63d9a3eef0a196de1,0xa294cca691e4c83b1fc0c8d63d9a3eef0a196de1,49573368.06595801,0.00019828146703571056,49573368.06595801,0.0002468288958742159,13.0,Dollar-Weighted,project
39926,Ethereum,0x5050e08626c499411b5d0e0b5af0e83d3fd82edf,0x5050e08626c499411b5d0e0b5af0e83d3fd82edf,49436348.49246039,0.00019773342192387617,0.0,0.0,1.0,Dollar-Weighted,project
118701,Ethereum,0xf02e86d9e0efd57ad034faf52201b79917fe0713,0xf02e86d9e0efd57ad034faf52201b79917fe0713,49262600.395871915,0.00019703847161425857,49262600.395871915,0.0002452815642348023,5.0,Dollar-Weighted,project
118139,Ethereum,0xef1bc9f850bd7e61b2828882c2e0295756b8f881,0xef1bc9f850bd7e61b2828882c2e0295756b8f881,49085237.9750788,0.00019632906488310662,49085237.9750788,0.00024439846566389834,3.0,Dollar-Weighted,project
53587,Ethereum,0x6bc3c1ac852ba81ffce2e23218fb8f66ab02b47d,0x6bc3c1ac852ba81ffce2e23218fb8f66ab02b47d,49002187.05698671,0.00019599688132325544,49002187.05698671,0.00024398494995548945,3.0,Dollar-Weighted,project
40773,Ethereum,0x5210fd60a0f4af0e47f2c45cd9194dfb32e8b804,0x5210fd60a0f4af0e47f2c45cd9194dfb32e8b804,48654789.20795591,0.00019460737405678873,48599493.00545591,0.0002419799111212869,4.0,Dollar-Weighted,project
63678,Ethereum,0x80b62f0ea7a89bbc4df4c95e2ad363e5c153b80e,0x80b62f0ea7a89bbc4df4c95e2ad363e5c153b80e,48561377.59866246,0.00019423375024119023,48561377.59866246,0.00024179013213023454,13.0,Dollar-Weighted,project
61037,Ethereum,0x7b4576d06d0ce1f83f9a9b76bf8077bffd34fcb1,0x7b4576d06d0ce1f83f9a9b76bf8077bffd34fcb1,48269221.34821833,0.00019306519599116147,42370924.9337043,0.00021096748166556936,28.0,Dollar-Weighted,project
107860,Ethereum,0xda41fd04410b4223515c61e06498ef3d3e2e95a8,0xda41fd04410b4223515c61e06498ef3d3e2e95a8,48074879.75167192,0.00019228787666885895,48074879.75167192,0.00023936782896418602,2.0,Dollar-Weighted,project
55121,Ethereum,0x6ef291b91fb18b12d3016a1d2a813b1017c5ae47,0x6ef291b91fb18b12d3016a1d2a813b1017c5ae47,47983976.18455948,0.00019192428441460962,47983976.18455948,0.00023891521442584082,103.0,Dollar-Weighted,project
85262,Ethereum,0xac7e2a699a09a03797c49805b36ae53b892ab2c4,0xac7e2a699a09a03797c49805b36ae53b892ab2c4,47865056.46209842,0.0001914486343236639,47865056.46209842,0.00023832310570017027,4.0,Dollar-Weighted,project
46491,Ethereum,0x5d910628471737454dfba1ecbeb0b16ed4227998,0x5d910628471737454dfba1ecbeb0b16ed4227998,47780652.09484632,0.00019111103729493872,47780652.09484632,0.0002379028510838594,2.0,Dollar-Weighted,project
113270,Ethereum,0xe553ebf35a01e9bef634f031b92ec41fc44b83e0,0xe553ebf35a01e9bef634f031b92ec41fc44b83e0,47283946.49886336,0.00018912433519865772,47283946.49886336,0.00023542972289801784,8.0,Dollar-Weighted,project
